Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q11,1544647606.028783,376267,0,0
1,Q11,1544647606.304894,376606,0,0
2,Q17,1544647606.581333,602736,0,0
1,Q11,1544647607.083650,376503,0,0
2,Q17,1544647607.360230,600825,0,0
1,Q11,1544647607.861270,376319,0,0
1,Q11,1544647608.137304,375910,0,0
1,Q11,1544647608.412531,376445,0,0
1,Q11,1544647608.689292,375249,0,0
2,Q17,1544647608.964311,600542,0,0
1,Q11,1544647609.464639,374837,0,0
2,Q17,1544647609.740015,597919,0,0
2,Q17,1544647610.237810,599377,0,0
1,Q11,1544647610.737307,374563,0,0
2,Q17,1544647611.011893,600523,0,0
2,Q17,1544647611.512562,598923,0,0
1,Q11,1544647612.012025,374419,0,0
1,Q11,1544647612.286590,374250,0,0
2,Q17,1544647612.561098,600706,0,0
2,Q17,1544647613.062282,598893,0,0
1,Q11,1544647613.561579,377191,0,0
2,Q17,1544647613.839585,598344,0,0
2,Q17,1544647614.338671,598947,0,0
1,Q11,1544647614.838655,374430,0,0
2,Q17,1544647615.113269,599435,0,0
2,Q17,1544647615.612830,599650,0,0
1,Q11,1544647616.111627,375701,0,0
1,Q11,1544647616.388353,373930,0,0
1,Q11,1544647616.663006,373779,0,0
1,Q11,1544647616.937733,373554,0,0
2,Q17,1544647617.212262,597956,0,0
2,Q17,1544647617.710051,599627,0,0
1,Q11,1544647618.210131,374830,0,0
1,Q11,1544647618.484891,374811,0,0
1,Q11,1544647618.759305,375169,0,0
1,Q11,1544647619.033830,375507,0,0
1,Q11,1544647619.309465,374947,0,0
2,Q17,1544647619.585258,598647,0,0
1,Q11,1544647620.084146,374340,0,0
2,Q17,1544647620.358676,598875,0,0
2,Q17,1544647620.857893,599883,0,0
1,Q11,1544647621.358187,375224,0,0
1,Q11,1544647621.633879,374201,0,0
2,Q17,1544647621.908508,599154,0,0
2,Q17,1544647622.407787,600290,0,0
2,Q17,1544647622.920169,623991,0,0
2,Q17,1544647623.443918,661530,0,0
2,Q17,1544647624.005709,700965,0,0
2,Q17,1544647624.606645,701571,0,0
1,Q11,1544647625.208393,448766,0,0
1,Q11,1544647625.557362,433112,0,0
1,Q11,1544647625.890707,433093,0,0
1,Q11,1544647626.223092,433922,0,0
1,Q11,1544647626.557534,432740,0,0
2,Q17,1544647626.891184,722089,0,0
1,Q11,1544647627.513878,432873,0,0
2,Q17,1544647627.847626,700197,0,0
2,Q17,1544647628.447922,701524,0,0
2,Q17,1544647629.050511,700388,0,0
2,Q17,1544647629.651752,700275,0,0
2,Q17,1544647630.253120,700026,0,0
2,Q17,1544647630.852287,702077,0,0
1,Q11,1544647631.454691,433111,0,0
2,Q17,1544647631.788212,700978,0,0
2,Q17,1544647632.389261,701163,0,0
1,Q11,1544647632.990736,433142,0,0
1,Q11,1544647633.324206,432920,0,0
2,Q17,1544647633.657849,700238,0,0
1,Q11,1544647634.257869,433532,0,0
2,Q17,1544647634.590657,701857,0,0
2,Q17,1544647635.192478,701485,0,0
2,Q17,1544647635.793938,701660,0,0
2,Q17,1544647636.396365,700658,0,0
1,Q11,1544647636.997724,438535,0,0
1,Q11,1544647637.336948,434635,0,0
1,Q11,1544647637.672606,432454,0,0
