Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Q17,1544644754.234340,692113,6,0
1,Q2,1544644754.234340,743982,7,0
1,Q2,1544644754.234341,736246,1,0
5,Q19,1544644754.234341,764066,3,0
5,Q19,1544644754.267042,749865,8,0
1,Q2,1544644754.297541,680090,2,0
1,Q2,1544644754.366772,720156,5,0
3,Q16,1544644754.366845,2510032,4,0
1,Q2,1544644754.726651,697386,0,0
4,Q17,1544644754.826398,651403,6,0
2,Q11,1544644754.870686,407573,1,0
3,Q16,1544644754.877196,2312979,2,0
5,Q19,1544644754.878280,749925,7,0
4,Q17,1544644754.899156,643530,3,0
5,Q19,1544644754.917538,754183,8,0
3,Q16,1544644754.986602,2350307,5,0
3,Q16,1544644755.001625,2410497,9,0
3,Q16,1544644755.177620,2337812,1,0
5,Q19,1544644755.323386,735955,0,0
4,Q17,1544644755.378068,648797,6,0
4,Q17,1544644755.441679,652478,3,0
1,Q2,1544644755.527725,668626,7,0
2,Q11,1544644755.571651,411745,8,0
1,Q2,1544644755.883317,691778,8,0
3,Q16,1544644755.926526,2450916,6,0
1,Q2,1544644755.960005,664158,0,0
3,Q16,1544644755.994544,2432790,3,0
1,Q2,1544644756.097118,683539,7,0
5,Q19,1544644756.475083,745079,8,0
4,Q17,1544644756.523651,633313,0,0
5,Q19,1544644756.680860,755996,7,0
3,Q16,1544644756.776928,2484863,4,0
5,Q19,1544644757.056726,721862,0,0
2,Q11,1544644757.090267,399709,2,0
3,Q16,1544644757.142332,2392335,8,0
3,Q16,1544644757.237050,2340667,5,0
4,Q17,1544644757.311772,684018,9,0
3,Q16,1544644757.336669,2391324,7,0
1,Q2,1544644757.390663,697136,2,0
4,Q17,1544644757.415562,626698,1,0
1,Q2,1544644757.679031,676854,0,0
4,Q17,1544644757.896273,683701,9,0
5,Q19,1544644757.942745,739478,1,0
3,Q16,1544644757.988076,2313980,2,0
2,Q11,1544644758.255862,402952,0,0
3,Q16,1544644758.277476,2409483,6,0
5,Q19,1544644758.328174,722745,3,0
2,Q11,1544644758.479986,403026,9,0
4,Q17,1544644758.558093,631971,0,0
2,Q11,1544644758.581951,398207,1,0
3,Q16,1544644758.782903,2399106,9,0
1,Q2,1544644758.879467,682065,1,0
4,Q17,1544644758.951047,642281,3,0
1,Q2,1544644759.089971,677203,0,0
3,Q16,1544644759.161529,2478593,4,0
4,Q17,1544644759.434222,654567,8,0
1,Q2,1544644759.461319,667944,1,0
1,Q2,1544644759.477480,722366,5,0
3,Q16,1544644759.493613,2345800,3,0
3,Q16,1544644759.628381,2481356,7,0
3,Q16,1544644759.667325,2383932,0,0
3,Q16,1544644759.989231,2503989,8,0
1,Q2,1544644760.029190,661460,1,0
